Järvitunnus;Nimi;Järvityyppi;Korkeustaso (m);Tilavuus (10^3 m3);Pinta-ala (ha);Keskisyvyys (m)
951101001;Kakskerranjärvi;Pienet ja keskikokoiset vähähumuksiset järvet;6,9;10372;162;6,38
340541001;Köyliönjärvi;Runsasravinteiset järvet;40,5;32574;1245;2,62
820431001;Littoistenjärvi;Matalat vähähumuksiset järvet;35,6;2956;146;2,03
230211001;Lohjanjärvi;Runsasravinteiset järvet;31,6;1119018;8821;12,68
340311001;Pyhäjärvi;Suuret vähähumuksiset järvet;44,9;848686;15532;5,47
